No.,番組名,副題,放送年月日
1,TBS　NEWS23スペシャル,立花隆・宇宙への道（全4回）,1990年7月23日～26日
2,TBS　NEWS23,立花隆のサル学の勧め,1992年1月6日
3,テレビ朝日　クライシスⅡ,アポロ13号・奇跡の生還,1994年7月17日
4,TBS　NEWS23,立花隆が見たスーパーカミオカンデ,1995年10月19日
5,TBS　NEWS23,インターネットスペシャル,1995年11月13日
6,TBS　NEWS23,若田宇宙飛行士、宇宙を語る,1996年2月19日
7,TBS　NEWS23,立花隆・仮想現実紀行,1997年2月11日
8,テレビ朝日　特報！宇宙スペシャル,モンゴル皆既日食とヘール・ボップ彗星,1997年3月9日
9,テレビ朝日　ニュースター,シンポジウム　21世紀の日本と国際貢献～開発と文化,1997年4月13日
10,TBS,香港返還カウントダウン,1997年6月30日
11,TBS　NEWS23,立花隆が見た・世界初の人間型ロボット,1997年7月24日
12,フジテレビ　ニュースJAPAN,宇宙から飛来！神秘的巨大雪玉の謎に迫る,1997年8月4日
13,テレビ朝日　ニュースステーション,少々おんぼろ宇宙のミール特集,1997年11月14日
14,TBS　NEWS23,筑紫討論　シリーズ”壊”,1998年1月5日～8日
15,TBS　21世紀プロジェクト・ヒトの旅、ヒトへの旅Ⅱ,人類最先端・2000年スペシャル”20世紀最大の謎・立花が追うシベリア大爆発▽天才を生む脳幹細胞の秘密▽米VSインド・筑紫が迫る遺伝子特許戦争▽広末涼子が見たエイズアフリカの子供たち▽絶対音感少女・暗算名人の脳の中は▽DNAで巨万の富を握る男▽ホモ遺伝子,2000年1月3日
16,テレビ朝日　ニュースター新春スペシャル,立花隆が語る2003ニッポン,2003年1月1日
17,TBS ニュース23,コロンビア事故について,2003年2月3日
18,TBS　ブロードキャスター,インタビュー「イラクについて」,2003年4月12日
19,TBS ニュース23,選挙と憲法問題,2003年11月7日
20,TBS ニュース23,イラク問題,2003年12月10日
21,テレビ東京　ワールドビジネスサテライト,メディアの嵐・ワールドビジネスサテライト解体新書,2003年12月28日
22,BSジャパン　青春漂流,20年後の出会い,2003年12月29日
23,テレビ朝日　ニュースステーション,米宇宙開発について,2004年1月15日
24,日本テレビ　ニュースプラス１,『週刊文春』販売差止め事件,2004年3月17日
25,フジテレビ　ワッツ日本,『週刊文春』販売差止め事件,2004年3月20日
26,日本テレビ　ニュース,『週刊文春』販売差止め事件,2004年3月21日
27,TBS ニュース23,『週刊文春』販売差止め事件,2004年3月31日
28,日本テレビ　ニュース,『週刊文春』販売差止め事件,2004年3月31日
29,TBS ニュース23,,2004年8月12日
30,テレビ朝日　アメリカ大統領選挙,速報!アメリカ大統領選挙 ブッシュかケリーか?日本の命運も決まる!?“速報!アメリカ大統領選挙”,2004年11月3日
31,BSジャパン　青春漂流,,2004年12月6日
32,テレビ朝日　サプライズ2004,,2004年12月29日
33,韓国KBS,日本を語る,2005年1月10日
34,テレビ東京　美の巨人たち,香月泰男,2005年2月4日
35,TBS　NEWS23,憲法,2005年5月4日
36,TBS　衆院選,,2005年9月9日
37,テレビ朝日　スーパーモーニング,小泉問題,2005年12月29日
38,TBS　NEWS23,ニッポンの変,2006年1月26日
39,TBS　NEWS23,ライブドア,2006年1月26日
40,TBS　NEWS23,ポスト小泉,2006年5月20日
41,TBS　情熱大陸,HAL,2006年8月27日
42,テレビ東京　カンブリア宮殿,インタビュー東京大学が動く,2007年7月16日
43,TBS　乱!参議院選挙2007,,2007年7月29日
44,TBS　NEWS23,参院選開票特番,2007年7月30日
45,TBS　ブロードキャスター,,2007年9月8日
46,TBS　ブロードキャスター,,2007年9月15日
47,テレビ東京　美の巨人たち,香月泰男とおもちゃ,2007年9月22日
48,BS朝日　私はガンを恐れない,,2008年4月23日
49,日本テレビ　news zero,,2008年9月23日
50,TBS　NEWS23,ノーベル賞,2008年10月7日
51,日本テレビ　情報ライブミヤネ,筑紫哲也さんを悼む,2008年11月10日
52,フジテレビ　めざましテレビ,筑紫哲也さんを悼む,2008年11月10日
53,TBS　みのもんたの朝ズバッ,小沢問題,2009年3月9日
54,日本テレビ　真相報道バンキシャ,小沢問題,2010年1月18日
55,日本テレビ　NEWSリアルタイム,小沢問題,2010年1月22日
56,TBSラジオ　爆笑問題の日曜サンデー,,2010年2月21日
57,TBS　みのもんたの朝ズバッ,検察,2010年9月24日
58,TBS　NEWS23,検察,2010年10月1日
59,TBS　NEWS23,小沢,2010年10月4日
60,TBS　NEWS23,スーパーコンピューター,2010年11月6日
61,TBS　NEWS23,対談　岸井成格　日本の政治を進めるために,2011年1月5日
62,TBSラジオ　爆笑問題の日曜サンデー,,2011年3月27日
63,ジャパンエフエムネットワーク　ラジオ版学問のすすめ,20歳の君へ,2011年3月27日
64,テレビ東京　田勢康弘の週刊ニュース新書,原発,2011年5月21日
65,KTNテレビ長崎　ニュース,長崎講演について,2011年7月31日
66,TBS　NEWS23,夢の光　SACLA,2011年8月16日
67,TBS　NEWS23,ちきゅう乗船取材,2012年5月3日
68,日テレ２０１２１０２０,ニッポンの大疑問iPS細胞,2012年10月19日
69,BS-TBS,筑紫哲也　明日への伝言,2013年1月27日
70,BSフジ　プライムニュース,医療とがん研究,2013年5月2日
71,RSKラジオ　笑顔の門には福来る,自分史の書き方,2014年1月1日
72,文化放送　大竹まことゴールデンラジオ,自分史の書き方,2014年1月20日
